Invoice_ID,Date,Customer_Name,Gender,Location,Product_ID,Product_Name,Category,Quantity,Unit_Price,Total_Price,Payment_Method,Rating
INV0035,2025-05-17,Ann Knox,Female,Bangalore,P1001,Samsung M14,Mobile,2.0,14000,28000.0,Wallet,4.3
INV0036,2025-02-24,Maria Oliver,Female,Hyderabad,P3002,HP Keyboard,Accessories,5.0,1200,6000.0,Cash,3.2
INV0037,2024-12-15,Tiffany Brown,Male,Mumbai,P1001,Samsung M14,Mobile,3.0,14000,42000.0,Card,4.1
INV0038,2025-04-28,Mark Sullivan,Female,Bangalore,P1002,iPhone 14,Mobile,1.0,75000,75000.0,Cash,4.1
INV0039,2025-02-22,Stephanie Gutierrez,Female,Hyderabad,P1003,Redmi Note 12,Mobile,4.0,13000,52000.0,UPI,3.9
INV0040,2024-11-20,Jonathan Klein,Male,Hyderabad,P2003,MacBook Air,Laptop,1.0,95000,95000.0,Card,3.2
INV0041,2025-03-08,Amanda Taylor,Male,Mumbai,P1001,Samsung M14,Mobile,3.0,14000,42000.0,Cash,4.4
INV0042,2024-12-14,Andrew Knox,Male,Chennai,P1002,iPhone 14,Mobile,4.0,75000,300000.0,UPI,5.0
INV0043,2025-05-12,David Peterson,Female,Delhi,P5002,Boat Smart Watch,Smart Watch,1.0,2500,2500.0,Card,4.5
INV0044,2025-05-06,Jennifer Morrison,Female,Delhi,P2003,MacBook Air,Laptop,3.0,95000,285000.0,UPI,4.0
INV0045,2025-01-28,Aaron Clark,Female,Bangalore,P5001,Apple Watch,Smart Watch,1.0,32000,32000.0,Cash,4.8
INV0046,2025-01-06,Larry Campbell,Female,Kolkata,P4001,Samsung Smart TV,Smart TV,3.0,40000,120000.0,Wallet,4.1
INV0047,2025-03-21,Rick Black,Male,Chennai,P3002,HP Keyboard,Accessories,2.0,1200,2400.0,Wallet,3.2
INV0048,2025-04-05,Patrick Peters,Male,Mumbai,P2002,Dell Inspiron,Laptop,2.0,48000,96000.0,Card,3.4
INV0049,2025-03-19,Rebecca Long,Male,Delhi,P2003,MacBook Air,Laptop,2.0,95000,190000.0,Card,3.5
INV0050,2025-01-30,Jonathan Gonzalez,Male,Kolkata,P1003,Redmi Note 12,Mobile,1.0,13000,13000.0,Wallet,4.5
INV0051,2025-01-27,Taylor Jones,Female,Jaipur,P4001,Samsung Smart TV,Smart TV,1.0,40000,40000.0,Cash,4.1
INV0052,2025-03-31,Kayla Taylor,Female,Bangalore,P2001,HP Pavilion 15,Laptop,2.0,52000,104000.0,Card,4.3
INV0053,2025-01-31,Jean Taylor,Male,Bangalore,P2003,MacBook Air,Laptop,5.0,95000,475000.0,Card,3.2
INV0054,2025-04-17,Sharon Rodriguez,Female,Jaipur,P1002,iPhone 14,Mobile,5.0,75000,375000.0,UPI,3.5
INV0055,2025-03-10,Rachel Thomas,Male,Hyderabad,P1001,Samsung M14,Mobile,2.0,14000,28000.0,Card,4.2
INV0056,2024-11-19,Joseph Peterson Jr.,Male,Jaipur,P3001,Logitech Mouse,Accessories,2.0,700,1400.0,Card,3.5
INV0057,2024-12-22,Sean Smith,Male,Kolkata,P1003,Redmi Note 12,Mobile,1.0,13000,13000.0,Wallet,3.9
INV0058,2025-04-05,Emily Ward,Female,Chennai,P3002,HP Keyboard,Accessories,3.0,1200,3600.0,Cash,3.2
INV0059,2025-03-06,Joel Walsh,Male,Kolkata,P2002,Dell Inspiron,Laptop,3.0,48000,144000.0,Card,4.4
INV0060,2024-11-19,Darrell Farrell,Female,Jaipur,P3002,HP Keyboard,Accessories,2.0,1200,2400.0,Wallet,4.0
INV0061,2025-02-03,Emily Taylor,Male,Kolkata,P2001,HP Pavilion 15,Laptop,2.0,52000,104000.0,Cash,3.5
INV0062,2025-04-06,Brian Harvey,Female,Hyderabad,P4001,Samsung Smart TV,Smart TV,1.0,40000,40000.0,Wallet,4.5
INV0063,2024-12-01,Samuel Allen,Male,Mumbai,P3001,Logitech Mouse,Accessories,3.0,700,2100.0,Card,4.2
INV0064,2025-04-21,David Harris,Male,Kolkata,P3001,Logitech Mouse,Accessories,2.0,700,1400.0,Wallet,4.8
INV0065,2025-02-11,Courtney Moran,Male,Bangalore,P5002,Boat Smart Watch,Smart Watch,4.0,2500,10000.0,Cash,3.4
INV0066,2025-02-06,Sharon Mason,Female,Mumbai,P2002,Dell Inspiron,Laptop,3.0,48000,144000.0,Wallet,3.2
INV0067,2025-02-12,David Calhoun,Female,Pune,P5002,Boat Smart Watch,Smart Watch,2.0,2500,5000.0,Cash,4.9
INV0068,2025-02-11,Tony Lin,Male,Mumbai,P4001,Samsung Smart TV,Smart TV,5.0,40000,200000.0,UPI,4.3
INV0069,2024-11-28,Lisa Smith,Female,Pune,P3003,JBL Headphones,Accessories,3.0,2500,7500.0,UPI,3.9
INV0070,2025-02-01,Karen Reese,Female,Chennai,P3001,Logitech Mouse,Accessories,3.0,700,2100.0,Wallet,4.9
INV0071,2025-03-12,Thomas Young,Male,Kolkata,P1002,iPhone 14,Mobile,5.0,75000,375000.0,UPI,3.1
INV0072,2024-11-29,Thomas Avery,Male,Chennai,P2002,Dell Inspiron,Laptop,4.0,48000,192000.0,UPI,3.1
INV0073,2024-11-29,Amy Scott,Male,Bangalore,P3002,HP Keyboard,Accessories,1.0,1200,1200.0,Cash,4.6
INV0074,2025-01-15,Melissa Park,Female,Kolkata,P3001,Logitech Mouse,Accessories,5.0,700,3500.0,Card,3.9
INV0075,2025-01-04,Lauren Newman,Male,Jaipur,P3003,JBL Headphones,Accessories,4.0,2500,10000.0,Card,4.2
INV0076,2025-01-11,Ashley Taylor,Male,Kolkata,P2003,MacBook Air,Laptop,5.0,95000,475000.0,Card,4.0
INV0077,2025-04-03,Amy Giles,Female,Bangalore,P4001,Samsung Smart TV,Smart TV,5.0,40000,,Card,3.4
INV0078,2025-03-13,Christopher Beck,Female,Chennai,P2001,HP Pavilion 15,Laptop,3.0,52000,156000.0,Card,3.7
INV0079,2025-03-19,Monica Castillo,Female,Mumbai,P2003,MacBook Air,Laptop,5.0,95000,475000.0,Card,5.0
INV0080,2025-02-12,Kyle Stewart,Male,Bangalore,P5002,Boat Smart Watch,Smart Watch,5.0,2500,12500.0,Card,4.2
INV0081,2025-02-05,Jennifer Andrews,Male,Bangalore,P5002,Boat Smart Watch,Smart Watch,3.0,2500,7500.0,Card,4.8
INV0082,2024-12-26,Antonio Anderson,Female,Pune,P5001,Apple Watch,Smart Watch,5.0,32000,160000.0,Wallet,4.3
INV0083,2024-11-30,Michael Robbins,Male,Chennai,P3002,HP Keyboard,Accessories,2.0,1200,2400.0,Wallet,3.9
INV0084,2024-12-05,Brian Cisneros,Female,Hyderabad,P3001,Logitech Mouse,Accessories,4.0,700,2800.0,UPI,4.4
INV0085,2025-03-27,Jacob Bowman,Male,Chennai,P2001,HP Pavilion 15,Laptop,3.0,52000,156000.0,UPI,5.0
INV0086,2024-12-17,Jamie Heath,Male,Delhi,P2001,HP Pavilion 15,Laptop,4.0,52000,208000.0,Card,3.1
INV0087,2024-12-21,Andres Rangel,Female,Delhi,P5002,Boat Smart Watch,Smart Watch,5.0,2500,12500.0,Card,3.7
INV0088,2025-03-08,Jesse Robinson,Female,Hyderabad,P3001,Logitech Mouse,Accessories,1.0,700,700.0,Card,4.6
INV0089,2024-12-05,Juan Rodriguez,Male,Hyderabad,P3003,JBL Headphones,Accessories,5.0,2500,12500.0,UPI,3.5
INV0090,2025-03-17,Mrs. Amber Wilson PhD,Female,Chennai,P2003,MacBook Air,Laptop,5.0,95000,475000.0,Cash,4.0
INV0091,2025-03-25,Miss Nancy Wood MD,Male,Chennai,P2003,MacBook Air,Laptop,3.0,95000,285000.0,UPI,3.4
INV0092,2025-01-11,Mark Marshall,Male,Hyderabad,P2001,HP Pavilion 15,Laptop,5.0,52000,260000.0,Cash,3.5
INV0093,2024-11-27,Eric Houston,Male,Mumbai,P3003,JBL Headphones,Accessories,4.0,2500,10000.0,UPI,4.1
INV0094,2025-01-14,Sherry Palmer,Female,Bangalore,P5002,Boat Smart Watch,Smart Watch,2.0,2500,5000.0,UPI,4.9
INV0095,2024-11-21,Matthew Martin,Male,Bangalore,P2003,MacBook Air,Laptop,2.0,95000,190000.0,Cash,3.3
INV0096,2024-11-26,Michael Murphy DVM,Female,Hyderabad,P5001,Apple Watch,Smart Watch,2.0,32000,64000.0,UPI,3.9
INV0097,2025-05-04,Philip Owens,Male,Mumbai,P5002,Boat Smart Watch,Smart Watch,3.0,2500,7500.0,Cash,3.3
INV0098,2025-03-31,Adam Ferguson,Female,Chennai,P3003,JBL Headphones,Accessories,1.0,2500,2500.0,Wallet,3.7
INV0099,2025-04-02,Kimberly King,Female,Jaipur,P2001,HP Pavilion 15,Laptop,2.0,52000,104000.0,UPI,4.9
INV0100,2025-01-27,Alex Sims,Male,Bangalore,P2001,HP Pavilion 15,Laptop,5.0,52000,260000.0,Card,3.6
INV0101,2025-04-25,Dr. Brittany Ramsey,Female,Pune,P2003,MacBook Air,Laptop,1.0,95000,95000.0,UPI,3.5
INV0102,2025-04-27,Nathan Odonnell,Female,Chennai,P1002,iPhone 14,Mobile,3.0,75000,225000.0,Cash,4.1
INV0103,2025-04-10,Kimberly Jordan,Male,Kolkata,P1001,Samsung M14,Mobile,2.0,14000,28000.0,Cash,3.1
INV0104,2025-03-24,Luis Graves,Male,Jaipur,P2001,HP Pavilion 15,Laptop,2.0,52000,104000.0,Wallet,5.0
INV0105,2025-04-21,Linda Brady,Female,Hyderabad,P2002,Dell Inspiron,Laptop,1.0,48000,48000.0,Cash,4.8
INV0106,2024-11-21,Melanie Alvarez,Male,Bangalore,P3003,JBL Headphones,Accessories,2.0,2500,5000.0,Cash,5.0
INV0107,2025-01-15,Amanda Peterson,Female,Bangalore,P1001,Samsung M14,Mobile,4.0,14000,56000.0,Wallet,4.9
INV0108,2025-02-26,Joshua Mccann,Male,Chennai,P3001,Logitech Mouse,Accessories,4.0,700,2800.0,UPI,4.6
INV0109,2025-05-06,Timothy Grant,Female,Delhi,P2001,HP Pavilion 15,Laptop,4.0,52000,208000.0,Wallet,3.8
INV0110,2024-12-29,Andrew Burns,Male,Jaipur,P3002,HP Keyboard,Accessories,5.0,1200,6000.0,UPI,3.8
INV0111,2024-12-29,Lindsey Powell,Male,Jaipur,P1002,iPhone 14,Mobile,3.0,75000,225000.0,Cash,3.1
INV0112,2025-03-22,Amy Johnson,Female,Kolkata,P2003,MacBook Air,Laptop,2.0,95000,190000.0,Cash,4.5
INV0113,2024-11-19,James Bauer,Female,Jaipur,P2002,Dell Inspiron,Laptop,2.0,48000,96000.0,Card,4.7
INV0114,2024-12-24,Jennifer Turner,Male,Kolkata,P5002,Boat Smart Watch,Smart Watch,2.0,2500,5000.0,Card,4.9
INV0115,2025-02-24,Nicole Rios,Female,Pune,P3002,HP Keyboard,Accessories,4.0,1200,4800.0,UPI,3.8
INV0116,2024-11-27,Lisa Romero,Female,Chennai,P1001,Samsung M14,Mobile,3.0,14000,42000.0,Cash,4.3
INV0117,2025-05-06,Mark Ramos,Male,Chennai,P1001,Samsung M14,Mobile,4.0,14000,56000.0,Cash,4.0
INV0118,2025-01-27,Jordan Oconnor,Female,Pune,P3003,JBL Headphones,Accessories,1.0,2500,2500.0,Card,3.5
INV0119,2025-02-16,Kathleen Murphy,Female,Delhi,P1003,Redmi Note 12,Mobile,2.0,13000,26000.0,Cash,4.0
INV0120,2025-03-24,Andrew Barber MD,Male,Pune,P4001,Samsung Smart TV,Smart TV,3.0,40000,120000.0,UPI,4.7
INV0121,2024-12-19,Brian Kelly,Male,Jaipur,P1002,iPhone 14,Mobile,1.0,75000,75000.0,Wallet,4.3
INV0122,2025-01-16,Amanda Clarke DVM,Male,Bangalore,P3003,JBL Headphones,Accessories,1.0,2500,2500.0,Card,3.6
INV0123,2025-01-26,Brianna Stein,Male,Bangalore,P3003,JBL Headphones,Accessories,5.0,2500,12500.0,UPI,4.7
INV0124,2024-12-20,Jessica Fuller,Male,Pune,P4001,Samsung Smart TV,Smart TV,3.0,40000,120000.0,Card,3.5
INV0125,2025-01-03,Micheal Gallegos,Female,Bangalore,P3001,Logitech Mouse,Accessories,5.0,700,3500.0,Cash,4.2
INV0126,2025-01-04,James Lane,Female,Mumbai,P3001,Logitech Mouse,Accessories,4.0,700,2800.0,Cash,4.5
INV0127,2025-03-28,Kyle Hicks,Male,Delhi,P4001,Samsung Smart TV,Smart TV,1.0,40000,40000.0,Cash,3.7
INV0128,2025-03-03,Erin Cook,Male,Jaipur,P3002,HP Keyboard,Accessories,2.0,1200,2400.0,Cash,3.7
INV0129,2025-01-26,Brandy Farmer,Female,Kolkata,P1001,Samsung M14,Mobile,3.0,14000,42000.0,UPI,3.3
INV0130,2024-12-27,Adam Shepherd,Male,Delhi,P1002,iPhone 14,Mobile,1.0,75000,75000.0,UPI,3.1
INV0131,2025-02-06,Nicole Jones,Male,Mumbai,P4001,Samsung Smart TV,Smart TV,5.0,40000,200000.0,Card,4.5
INV0132,2025-05-10,Brandon Salazar,Female,Jaipur,P2003,MacBook Air,Laptop,3.0,95000,285000.0,Cash,3.2
INV0133,2025-01-16,Wayne Pena,Female,Delhi,P3003,JBL Headphones,Accessories,4.0,2500,10000.0,UPI,3.1
INV0134,2025-03-02,Diana Bowen,Female,Hyderabad,P5001,Apple Watch,Smart Watch,2.0,32000,64000.0,Wallet,4.7
INV0135,2025-05-08,Joseph Calderon,Female,Pune,P1001,Samsung M14,Mobile,3.0,14000,42000.0,UPI,3.1
INV0136,2025-03-10,Danielle Castillo,Male,Pune,P2003,MacBook Air,Laptop,5.0,95000,475000.0,UPI,3.3
,2024-11-21,William Bullock,Male,Kolkata,P3003,JBL Headphones,Accessories,5.0,2500,12500.0,UPI,3.3
INV0138,2025-03-06,Robin Hensley,Male,Bangalore,P2003,MacBook Air,Laptop,4.0,95000,380000.0,Cash,4.7
INV0139,2025-01-25,Terry Davidson,Female,Delhi,P2003,MacBook Air,Laptop,4.0,95000,380000.0,Cash,4.3
INV0140,2025-05-05,Kathleen Alvarado,Female,Chennai,P1001,Samsung M14,Mobile,5.0,14000,70000.0,Cash,4.1
INV0141,2024-12-29,Christina Trujillo,Male,Jaipur,P1002,iPhone 14,Mobile,3.0,75000,225000.0,Card,3.2
INV0142,2025-01-25,Zachary Martinez,Male,Mumbai,P3001,Logitech Mouse,Accessories,3.0,700,2100.0,Wallet,3.4
INV0143,2024-12-25,Stephen Schroeder,Male,Delhi,P1003,Redmi Note 12,Mobile,4.0,13000,52000.0,Wallet,4.8
INV0144,2025-01-04,John Collier,Male,Hyderabad,P1003,Redmi Note 12,Mobile,3.0,13000,39000.0,UPI,3.7
INV0145,2024-12-09,Debbie Nguyen,Male,Pune,P3002,HP Keyboard,Accessories,2.0,1200,2400.0,Cash,3.2
INV0146,2025-04-16,Susan Allen,Male,Chennai,P2001,HP Pavilion 15,Laptop,5.0,52000,260000.0,Cash,3.3
INV0147,2025-01-06,Kevin Garcia,Female,Bangalore,P3001,Logitech Mouse,Accessories,3.0,700,2100.0,UPI,4.9
INV0148,2025-03-10,Luis Rose,Male,Bangalore,P3001,Logitech Mouse,Accessories,2.0,700,1400.0,Card,4.0
INV0149,2025-01-29,Thomas Perry,Female,Mumbai,P5002,Boat Smart Watch,Smart Watch,2.0,2500,5000.0,Cash,3.6
INV0150,2025-03-02,Peter Mejia,Female,Jaipur,P2003,MacBook Air,Laptop,5.0,95000,475000.0,Wallet,3.0
INV0151,2024-12-15,Mrs. Amanda Sweeney DDS,Male,Hyderabad,P1002,iPhone 14,Mobile,1.0,75000,75000.0,Card,4.1
INV0152,2025-03-20,Joe Williams,Male,Chennai,P1002,iPhone 14,Mobile,1.0,75000,75000.0,Cash,3.5
INV0153,2025-04-24,Amanda Johnson,Male,Hyderabad,P2003,MacBook Air,Laptop,5.0,95000,475000.0,UPI,3.3
INV0154,2024-12-06,Rachel Leblanc,Female,Kolkata,P5001,Apple Watch,Smart Watch,2.0,32000,64000.0,UPI,3.5
INV0155,2025-01-24,Juan Smith,Female,Pune,P1002,iPhone 14,Mobile,4.0,75000,300000.0,Card,3.2
INV0156,2025-02-25,Jennifer Lewis,Female,Mumbai,P3003,JBL Headphones,Accessories,5.0,2500,12500.0,UPI,3.5
INV0157,2025-05-16,Duane Mcgee,Female,Mumbai,P3001,Logitech Mouse,Accessories,1.0,700,700.0,Cash,4.4
INV0158,2024-12-07,Lisa Lane,Female,Chennai,P2002,Dell Inspiron,Laptop,2.0,48000,96000.0,Cash,4.8
INV0159,2025-02-17,Stephanie Johnson,Female,Delhi,P3003,JBL Headphones,Accessories,3.0,2500,7500.0,UPI,4.8
INV0160,2025-01-29,Erika Cole,Male,Jaipur,P1001,Samsung M14,Mobile,3.0,14000,42000.0,Card,3.2
INV0161,2024-12-11,Crystal Powell,Male,Delhi,P3002,HP Keyboard,Accessories,1.0,1200,1200.0,Cash,4.9
INV0162,2025-05-09,Anna Reeves,Female,Mumbai,P1002,iPhone 14,Mobile,5.0,75000,375000.0,Wallet,3.6
INV0163,2025-05-04,Derek Wood,Female,Jaipur,P2001,HP Pavilion 15,Laptop,3.0,52000,156000.0,Card,4.4
INV0164,2025-04-30,Bryce Turner,Female,Hyderabad,P4001,Samsung Smart TV,Smart TV,5.0,40000,200000.0,Card,4.8
INV0165,2025-01-03,Jacob Wilson,Female,Jaipur,P1001,Samsung M14,Mobile,1.0,14000,14000.0,UPI,4.6
INV0166,2025-03-08,Alexandria Herrera,Female,Mumbai,P1001,Samsung M14,Mobile,1.0,14000,14000.0,UPI,4.5
INV0167,2025-01-10,Jonathan Webb,Female,Mumbai,P3002,HP Keyboard,Accessories,3.0,1200,3600.0,Cash,4.3
INV0168,2025-02-26,Jacqueline Reid,Male,Bangalore,P2002,Dell Inspiron,Laptop,2.0,48000,96000.0,Card,3.9
INV0169,2025-03-07,Craig Richards,Male,Mumbai,P1002,iPhone 14,Mobile,2.0,75000,150000.0,Wallet,4.1
INV0170,2025-01-30,Anthony Martinez,Male,Bangalore,P3002,HP Keyboard,Accessories,2.0,1200,2400.0,UPI,3.4
INV0171,2024-11-16,William Jackson,Female,Kolkata,P3001,Logitech Mouse,Accessories,1.0,700,700.0,Card,3.4
INV0172,2024-12-23,Stephanie Mack,Male,Mumbai,P2002,Dell Inspiron,Laptop,4.0,48000,192000.0,UPI,3.6
INV0173,2025-04-04,Felicia Collins,Male,Chennai,P2001,HP Pavilion 15,Laptop,1.0,52000,52000.0,Wallet,3.1
INV0174,2025-04-05,Paula Gibson,Female,Mumbai,P1002,iPhone 14,Mobile,4.0,75000,300000.0,Card,4.3
INV0175,2025-02-09,Victoria Rodriguez,Male,Delhi,P2002,Dell Inspiron,Laptop,4.0,48000,192000.0,Wallet,4.8
INV0176,2025-01-29,Zachary Lewis,Female,Delhi,P1002,iPhone 14,Mobile,3.0,75000,225000.0,UPI,4.5
INV0177,2025-03-16,Joe Ross,Female,Hyderabad,P2003,MacBook Air,Laptop,3.0,95000,285000.0,Wallet,4.0
INV0178,2025-01-28,Veronica Price,Female,Delhi,P3001,Logitech Mouse,Accessories,2.0,700,1400.0,Card,4.1
INV0179,2024-12-30,Melinda Wilson,Male,Hyderabad,P4001,Samsung Smart TV,Smart TV,2.0,40000,80000.0,Card,3.9
INV0180,2025-05-16,Brian Rivera,Female,Kolkata,P3003,JBL Headphones,Accessories,3.0,2500,7500.0,Card,4.6
INV0181,2025-02-28,Anthony Luna,Male,Hyderabad,P1003,Redmi Note 12,Mobile,1.0,13000,13000.0,Wallet,4.0
INV0182,2025-03-26,Ashley Garza,Male,Bangalore,P5002,Boat Smart Watch,Smart Watch,3.0,2500,7500.0,Wallet,4.9
INV0183,2025-04-17,John Atkinson,Male,Pune,P4001,Samsung Smart TV,Smart TV,5.0,40000,200000.0,Wallet,3.1
INV0184,2024-12-19,Tanner Esparza,Female,Chennai,P2001,HP Pavilion 15,Laptop,5.0,52000,260000.0,Wallet,3.5
INV0185,2024-12-06,Mariah Wilson,Male,Pune,P3001,Logitech Mouse,Accessories,1.0,700,700.0,Cash,4.7
INV0186,2025-03-02,David Lopez,Female,Kolkata,P2001,HP Pavilion 15,Laptop,2.0,52000,104000.0,UPI,4.8
INV0187,2025-01-29,Kurt Hamilton,Male,Bangalore,P3001,Logitech Mouse,Accessories,4.0,700,2800.0,Card,4.3
INV0188,2024-12-01,Rebecca Chen,Female,Mumbai,P2003,MacBook Air,Laptop,5.0,95000,475000.0,UPI,4.7
INV0189,2024-12-12,Randy Pittman,Male,Chennai,P3001,Logitech Mouse,Accessories,3.0,700,2100.0,Wallet,4.7
INV0190,2024-11-16,Virginia Clark,Male,Chennai,P2002,Dell Inspiron,Laptop,3.0,48000,144000.0,Card,3.7
INV0191,2025-04-04,Kathleen Mcdaniel,Male,Kolkata,P4001,Samsung Smart TV,Smart TV,2.0,40000,80000.0,Cash,4.1
INV0192,2025-04-09,Jennifer Smith,Male,Hyderabad,P3001,Logitech Mouse,Accessories,1.0,700,700.0,Wallet,3.6
INV0193,2025-03-02,Lisa Daniels,Male,Bangalore,P1001,Samsung M14,Mobile,4.0,14000,56000.0,Cash,4.5
INV0194,2025-01-20,Raymond Hart,Female,Mumbai,P3001,Logitech Mouse,Accessories,4.0,700,2800.0,Card,4.1
INV0195,2025-03-18,Alexis Lopez,Male,Delhi,P3001,Logitech Mouse,Accessories,4.0,700,2800.0,Wallet,4.1
INV0196,2025-01-19,John Murphy,Female,Pune,P3001,Logitech Mouse,Accessories,2.0,700,1400.0,Card,3.8
INV0197,2025-04-16,Dennis Sanders,Male,Delhi,P1003,Redmi Note 12,Mobile,4.0,13000,52000.0,Card,3.3
INV0198,2025-05-08,Deborah Thomas,Male,Hyderabad,P2003,MacBook Air,Laptop,3.0,95000,285000.0,Card,3.4
INV0199,2024-12-08,Whitney Zimmerman,Male,Bangalore,P2003,MacBook Air,Laptop,2.0,95000,190000.0,Wallet,4.1
INV0200,2025-03-27,Austin Carr,Female,Chennai,P5002,Boat Smart Watch,Smart Watch,1.0,2500,2500.0,UPI,3.7
INV0201,2025-03-12,Kelly Graham,Male,Delhi,P1002,iPhone 14,Mobile,4.0,75000,300000.0,Cash,4.2
INV0202,2025-01-14,Miguel Sanders,Male,Delhi,P3003,JBL Headphones,Accessories,3.0,2500,7500.0,Card,4.1
INV0203,2025-02-05,Bailey Smith,Male,Kolkata,P1002,iPhone 14,Mobile,1.0,75000,75000.0,Card,3.6
INV0204,2025-02-12,Darrell Miller,Male,Pune,P4001,Samsung Smart TV,Smart TV,1.0,40000,40000.0,Card,3.3
INV0205,2025-03-07,Gregory Price,Female,Bangalore,P2002,Dell Inspiron,Laptop,3.0,48000,144000.0,Cash,4.3
INV0206,2025-04-17,Anthony Hendrix,Male,Delhi,P5001,Apple Watch,Smart Watch,1.0,32000,32000.0,Wallet,3.2
INV0207,2025-04-10,Julie Collins,Female,Mumbai,P3001,Logitech Mouse,Accessories,3.0,700,2100.0,UPI,4.9
INV0208,2025-05-02,Kevin Morrison,Female,Bangalore,P3002,HP Keyboard,Accessories,2.0,1200,2400.0,Cash,4.6
